iter	RMSE
175	15.87523711
176	15.86486634
177	15.86327677
178	15.84601285
179	15.83949063
180	15.82951748
181	15.82278364
182	15.82131898
183	15.81464877
184	15.81069743
185	15.80260329
186	15.7969899
187	15.79323861
188	15.784478
189	15.77894577
190	15.76672452
191	15.76299237
192	15.75895188
193	15.75662677
194	15.75545117
195	15.74585681
196	15.73441113
197	15.72212416
198	15.70726536
199	15.70513103
200	15.69816646
201	15.67903096
202	15.67308865
203	15.6710115
204	15.65351569
205	15.65096965
206	15.64985196
207	15.64437644
208	15.62321194
209	15.61013764
210	15.60868549
211	15.59879647
212	15.59713147
213	15.59470302
214	15.59180847
215	15.59084121
216	15.57703413
217	15.55622287
218	15.54305807
219	15.54108238
220	15.52210389
221	15.50439828
222	15.50156059
223	15.48780237
224	15.48472962
225	15.46826123
226	15.4545393
227	15.44941933
228	15.43565999
229	15.43407374
230	15.43212776
231	15.42544794
232	15.40640453
233	15.40315868
234	15.38722219
235	15.38639146
236	15.37355384
237	15.36234938
238	15.3475784
239	15.3287636
240	15.31802326
241	15.3027781
242	15.29614057
243	15.28712684
244	15.27874723
245	15.27320786
246	15.27155698
247	15.26404346
248	15.24760454
249	15.24614637
250	15.23270085
251	15.21393532
252	15.21158235
253	15.19422666
254	15.18004535
255	15.16680783
256	15.16569381
257	15.14833953
258	15.13969556
259	15.13526752
260	15.11657491
261	15.11594845
262	15.10246983
263	15.08712915
264	15.0753404
265	15.06440751
266	15.05344077
267	15.04215651
268	15.03044586
269	15.02029967
270	15.00654421
271	14.99533175
272	14.99310981
273	14.99182227
274	14.97856164
275	14.96089983
276	14.95374903
277	14.95314881
278	14.94565498
279	14.94472065
280	14.94193173
281	14.92396581
282	14.91517499
283	14.90795868
284	14.89596906
285	14.88546847
286	14.88396659
287	14.87201321
288	14.87048722
289	14.85702937
290	14.84416989
291	14.83522556
292	14.82399443
293	14.82336946
294	14.81429226
295	14.80839143
296	14.80709349
297	14.79728708
298	14.79587055
299	14.79426836
300	14.79239202
301	14.7846387
302	14.78301186
303	14.78245105
304	14.78074346
305	14.77882907
306	14.76564665
307	14.75296948
308	14.75225625
309	14.74882821
310	14.74815561
311	14.73750547
312	14.72401628
313	14.70752498
314	14.70233794
315	14.69009918
316	14.67476585
317	14.67413764
318	14.66855739
319	14.6610934
320	14.65422756
321	14.64451086
322	14.63645244
323	14.63333008
324	14.63203907
325	14.61434718
326	14.59618401
327	14.58481327
328	14.5731972
329	14.57206367
330	14.5584503
331	14.55386971
332	14.54716643
333	14.54405477
334	14.52890451
335	14.51504035
336	14.5044607
337	14.49232651
338	14.48476604
339	14.4767757
340	14.47302266
341	14.45731993
342	14.43992334
343	14.43935054
344	14.43204936
345	14.42462265
346	14.4222805
347	14.41544056
348	14.41442239
349	14.40284501
350	14.39345144
351	14.38074911
352	14.3787389
353	14.3777597
354	14.37656603
355	14.36034515
356	14.35170454
357	14.34126485
358	14.32603847
359	14.32557679
360	14.31052586
361	14.30095993
362	14.29112822
363	14.29027873
364	14.27556723
365	14.26528833
366	14.25512734
367	14.24715331
368	14.23741184
369	14.23250035
370	14.23136268
371	14.22594762
372	14.22007206
373	14.21587684
374	14.21530006
375	14.19831486
376	14.19790536
377	14.18996404
378	14.18215975
379	14.1703138
380	14.16621702
381	14.16291649
382	14.15094659
383	14.14679024
384	14.14132396
385	14.13390017
386	14.12788298
387	14.1196916
388	14.10436914
389	14.09856605
390	14.09177425
391	14.07859817
392	14.07816124
393	14.07781406
394	14.07514932
395	14.06228607
396	14.05206414
397	14.04008497
398	14.02772171
399	14.02153188
400	14.02103001
401	14.01120185
402	13.99682091
403	13.98794725
404	13.98510547
405	13.97119879
406	13.9586775
407	13.95397059
408	13.94742852
409	13.93988038
410	13.93837648
411	13.92974682
412	13.92231039
413	13.92122515
414	13.91858855
415	13.90869279
416	13.89634067
417	13.88672581
418	13.87667921
419	13.87344639
420	13.87296478
421	13.86705744
422	13.85145886
423	13.85099264
424	13.84087816
425	13.83427663
426	13.8213574
427	13.81180513
428	13.79380744
429	13.78522255
430	13.78293618
431	13.77774775
432	13.7643568
433	13.75977745
434	13.75933008
435	13.75835966
436	13.75232053
437	13.73891227
438	13.7358476
439	13.73223455
440	13.72527393
441	13.71495477
442	13.70343926
443	13.69082122
444	13.68266255
445	13.68206718
446	13.67190514
447	13.67148282
448	13.65611494
449	13.64274209
450	13.62943243
451	13.62839679
452	13.61767888
453	13.61536015
454	13.61415322
455	13.60247768
456	13.59084725
457	13.58538758
458	13.57696739
459	13.564867
460	13.55285797
461	13.54551829
462	13.5397016
463	13.53837874
464	13.53797795
465	13.5301466
466	13.52874822
467	13.52701786
468	13.51671247
469	13.51537599
470	13.50275107
471	13.492358
472	13.48257602
473	13.46682765
474	13.45952549
475	13.45195082
476	13.45075416
477	13.43925286
478	13.43129148
479	13.41522095
480	13.40401316
481	13.39312253
482	13.375716
483	13.36463219
484	13.35276436
485	13.34456057
486	13.33306359
487	13.32457809
488	13.31596439
489	13.30952874
490	13.29945263
491	13.29050003
492	13.28330803
493	13.27586312
494	13.26914532
495	13.2611307
496	13.25572912
497	13.24199926
498	13.23321193
499	13.22597902
